time_s,distance_m,throughput_mbps
1,1.5,58.2086
1.5,1.75,59.5037
2,2,59.5491
2.5,2.25,59.5264
3,2.5,59.5264
3.5,2.75,59.481
4,3,59.5037
4.5,3.25,59.4355
5,3.5,59.5264
5.5,3.75,59.5037
6,4,59.481
6.5,4.25,59.481
7,4.5,59.4128
7.5,4.75,59.5946
8,5,59.4582
8.5,5.25,59.4582
9,5.5,59.5491
9.5,5.75,59.4355
10,6,59.481
10.5,6.25,59.481
11,6.5,59.5037
11.5,6.75,59.4128
12,7,59.5037
12.5,7.25,59.481
13,7.5,59.3901
13.5,7.75,59.5037
14,8,59.5264
14.5,8.25,59.4582
15,8.5,59.5037
15.5,8.75,59.5264
16,9,59.5037
16.5,9.25,59.481
17,9.5,59.4582
17.5,9.75,59.231
18,10,56.2547
18.5,10.25,53.5283
19,10.5,53.392
19.5,10.75,53.3011
20,11,48.5299
20.5,11.25,47.6666
21,11.5,47.5075
21.5,11.75,47.4166
22,12,43.1226
22.5,12.25,35.6931
23,12.5,35.6931
23.5,12.75,35.625
24,13,35.6931
24.5,13.25,35.6931
25,13.5,35.6931
25.5,13.75,35.7158
26,14,35.625
26.5,14.25,35.6704
27,14.5,35.6931
27.5,14.75,35.6931
28,15,35.625
28.5,15.25,35.7158
29,15.5,35.7158
29.5,15.75,35.6931
30,16,35.625
30.5,16.25,35.6704
31,16.5,35.3523
31.5,16.75,35.8976
32,17,35.4205
32.5,17.25,31.0128
33,17.5,23.7878
33.5,17.75,23.7197
34,18,23.7651
34.5,18.25,23.7651
35,18.5,23.7424
35.5,18.75,23.7651
36,19,23.7651
36.5,19.25,23.7424
37,19.5,23.7197
37.5,19.75,23.7878
38,20,23.7651
38.5,20.25,23.7197
39,20.5,23.7651
39.5,20.75,23.7424
40,21,23.697
40.5,21.25,23.7197
41,21.5,23.6742
41.5,21.75,23.4925
42,22,18.7894
42.5,22.25,17.7443
43,22.5,17.767
43.5,22.75,17.7443
44,23,17.7443
44.5,23.25,17.7443
45,23.5,17.767
45.5,23.75,17.7443
46,24,17.767
46.5,24.25,17.7443
47,24.5,17.767
47.5,24.75,17.767
48,25,17.7443
48.5,25.25,17.7443
49,25.5,17.767
49.5,25.75,17.7216
50,26,17.767
50.5,26.25,17.767
51,26.5,17.7443
51.5,26.75,17.7898
52,27,17.7216
52.5,27.25,17.6989
53,27.5,17.767
53.5,27.75,17.7216
54,28,17.6989
54.5,28.25,17.6762
55,28.5,17.7216
55.5,28.75,17.5626
56,29,14.2454
56.5,29.25,11.8144
57,29.5,11.8144
57.5,29.75,11.8144
58,30,11.8144
58.5,30.25,11.7917
59,30.5,11.8371
59.5,30.75,11.8144
60,31,11.8144
60.5,31.25,11.8144
61,31.5,11.8144
61.5,31.75,11.8144
62,32,11.7917
62.5,32.25,11.8144
63,32.5,11.8144
63.5,32.75,11.7917
64,33,11.8144
64.5,33.25,11.7917
65,33.5,11.8144
65.5,33.75,11.7917
66,34,11.7917
66.5,34.25,11.7917
67,34.5,11.8144
67.5,34.75,11.7917
68,35,11.7917
68.5,35.25,11.7235
69,35.5,11.7008
69.5,35.75,11.7917
70,36,11.6781
70.5,36.25,8.99712
71,36.5,5.7936
71.5,36.75,5.81632
72,37,5.7936
72.5,37.25,5.81632
73,37.5,5.7936
73.5,37.75,5.81632
74,38,5.7936
74.5,38.25,5.81632
75,38.5,5.7936
75.5,38.75,5.7936
76,39,5.81632
76.5,39.25,5.7936
77,39.5,5.7936
77.5,39.75,5.7936
78,40,5.81632
78.5,40.25,5.7936
79,40.5,5.7936
79.5,40.75,5.81632
